CODE,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Tot Cases 1m pop,Deaths 1M pop,Total Tests,Tests 1M pop,Population,
TCA,Turks and Caicos,12,,1,,11,0,,310,26,153,"3,956","38,673",
VAT,Vatican City,12,,,,2,10,,"14,981",,,,801,
MSR,Montserrat,11,,1,,10,0,,"2,204",200,61,"12,220","4,992",
SYC,Seychelles,11,,,,11,0,,112,,,,"98,299",
ZAANDAM,MS Zaandam,9,,2,,,7,,,,,,0,
ESH,Western Sahara,9,,1,,6,2,,15,2,,,"5,96,026",
VGB,British Virgin Islands,8,,1,,7,0,,265,33,167,"5,527","30,215",
PNG,Papua New Guinea,8,,,,8,0,,0.9,,"4,646",520,"89,32,400",
NLD,Caribbean Netherlands,7,,,,7,0,,267,,424,"16,181","26,203",
SBH,St. Barth,6,,,,6,0,,608,,137,"13,873","9,875",
AIA,Anguilla,3,,,,3,0,,200,,41,"2,735","14,992",
LSO,Lesotho,2,,,,1,1,,0.9,,283,132,"21,40,884",
SPM,Saint Pierre Miquelon,1,,,,1,0,,173,,,,"5,796",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
